ID,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Age_Labels,Child_Status,Active_Cust
5524,Graduation,Single,58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,55,Pre-Senior,Not Have Child,Active
2174,Graduation,Single,46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,Senior,Have Child,Active
4141,Graduation,Single,71613,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,48,Pre-Senior,Not Have Child,Active
6182,Graduation,Single,26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,Adult,Have Child,Active
5324,PhD,Married,58293,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,Adult,Have Child,Passive
7446,Master,Single,62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,46,Pre-Senior,Have Child,Active
965,Graduation,Divorced,55635,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,41,Adult,Have Child,Active
6177,PhD,Married,33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,28,Adult,Have Child,Active
4855,PhD,Single,30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,39,Adult,Have Child,Active
5899,PhD,Single,5648,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,Senior,Have Child,Passive
1994,Graduation,Married,52720,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,30,Adult,Have Child,Active
387,Basic,Married,7500,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,36,Adult,Not Have Child,Active
2125,Graduation,Divorced,63033,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,54,Pre-Senior,Not Have Child,Passive
8180,Master,Divorced,59354,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,61,Senior,Have Child,Active
2569,Graduation,Married,17323,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,25,Adult,Not Have Child,Active
2114,PhD,Single,82800,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,66,Senior,Not Have Child,Active
9736,Graduation,Married,41850,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,32,Adult,Have Child,Active
4939,Graduation,Single,37760,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,66,Senior,Not Have Child,Active
6565,Master,Married,76995,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,64,Senior,Have Child,Passive
2278,2n Cycle,Single,33812,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,27,Adult,Have Child,Passive
9360,Graduation,Married,37040,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,30,Adult,Not Have Child,Active
5376,Graduation,Married,2447,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,34,Adult,Have Child,Active
1993,PhD,Married,58607,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,63,Senior,Have Child,Passive
4047,PhD,Married,65324,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,Senior,Have Child,Active
1409,Graduation,Single,40689,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,62,Senior,Have Child,Passive
7892,Graduation,Single,18589,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,44,Pre-Senior,Not Have Child,Passive
2404,Graduation,Married,53359,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,37,Adult,Have Child,Active
5255,Graduation,Single,52720,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,27,Adult,Have Child,Active
9422,Graduation,Married,38360,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,24,Adult,Have Child,Active
1966,PhD,Married,84618,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,48,Pre-Senior,Not Have Child,Passive
